Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;1.2693;100;6.1656;212
3;visual;0.50789;100;5.8746;216
4;visual;-0.039587;100;6.7792;204
5;visual;2.0539;100;5.8714;188
6;visual;1.5239;100;9.9307;244
7;visual;0.43323;260;11.115;180
8;visual;2.0039;260;10.5358;176
9;visual;0.57238;100;3.55;184
10;visual;3.0005;100;9.4141;196
11;visual;-0.099233;260;6.527;180
12;visual;1.534;100;8.9264;200
13;visual;-1.2942;112;5.9801;500
14;visual;2.6064;100;5.4101;284
15;visual;-0.0059189;128;5.4315;208
16;visual;2.9054;260;5.7679;208
17;visual;0.49423;100;4.0354;196
18;visual;2.207;100;10.1738;196
19;visual;0.76801;128;3.0141;224
20;visual;2.7719;100;6.1456;188
2;vibro;0.73033;240;4.3704;156
3;vibro;3.3383;100;11.2486;216
4;vibro;3.0713;100;7.5772;188
5;vibro;4.2534;100;7.4788;180
6;vibro;1.3599;100;8.7526;224
7;vibro;0.5849;260;12.7643;176
8;vibro;2.3515;248;10.1405;164
9;vibro;-0.91515;104;3.6964;184
10;vibro;5.9481;100;10.19;164
11;vibro;2.233;260;10.3317;180
12;vibro;2.1217;260;6.3578;168
13;vibro;-1.5937;260;4.816;468
14;vibro;2.314;100;3.2219;236
15;vibro;-0.050713;128;4.2356;204
16;vibro;-2.1891;120;3.2279;500
17;vibro;0.9323;100;3.7556;212
18;vibro;2.8547;100;8.0612;192
19;vibro;1.5529;164;4.6166;244
20;vibro;1.3708;108;5.7158;204