subject;condition;congruency;RT
10;vibro;normal;0
10;vibro;normal;0.17
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.122
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.192
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0.008
10;vibro;conflict;0.098
10;vibro;normal;0.2
10;vibro;normal;0.09
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.094
10;vibro;normal;0
10;vibro;conflict;0.064
10;vibro;normal;0.032
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.184
10;vibro;normal;0
10;vibro;normal;0.052
10;vibro;conflict;0.166
10;vibro;normal;0.034
10;vibro;normal;0.046
10;vibro;normal;0
10;vibro;conflict;0.216
10;vibro;normal;0.06
10;vibro;normal;0.018
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.214
10;vibro;normal;0.068
10;vibro;conflict;0.196
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0.042
10;vibro;normal;0
10;vibro;conflict;0.146
10;vibro;normal;0.012
10;vibro;normal;0
10;vibro;conflict;0.182
10;vibro;normal;0
10;vibro;normal;0.03
10;vibro;normal;0
10;vibro;conflict;0.098
10;vibro;normal;0
10;vibro;normal;0.078
10;vibro;normal;0.026
10;vibro;normal;0.036
10;vibro;conflict;0.128
10;vibro;normal;0
10;vibro;conflict;0.12
10;vibro;normal;0
10;vibro;normal;0.08
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.074
10;vibro;normal;0.006
10;vibro;normal;0
10;vibro;conflict;0.054
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0.876
10;vibro;conflict;0.206
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.134
10;vibro;normal;0
10;vibro;conflict;0.07
10;vibro;normal;0.026
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.036
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.176
10;vibro;normal;0.002
10;vibro;normal;0
10;vibro;normal;0.874
10;vibro;normal;0
10;vibro;conflict;0.05
10;vibro;normal;0
10;vibro;conflict;0.042
10;vibro;normal;0
10;vibro;normal;0.124
10;vibro;normal;0.004
10;vibro;normal;0.116
10;vibro;normal;0.084
10;vibro;conflict;0.152
10;vibro;normal;0.132
10;vibro;normal;0.078
10;vibro;conflict;0.178
10;vibro;normal;0.07
10;vibro;normal;0.058
10;vibro;normal;0.026
10;vibro;conflict;0.128
10;vibro;normal;0.042
10;vibro;normal;0.054
10;vibro;normal;0.034
10;vibro;normal;0.078
10;vibro;conflict;0.112
10;vibro;normal;0.048
10;vibro;conflict;0.128
10;vibro;normal;0.016
10;vibro;normal;0.04
10;vibro;normal;0.052
10;vibro;normal;0.064
10;vibro;normal;0.068
10;vibro;conflict;0.126
10;vibro;normal;0.07
10;vibro;normal;0.05
10;vibro;conflict;0.128
10;vibro;normal;0.052
10;vibro;normal;0.076
10;vibro;normal;0.044
10;vibro;conflict;0.124
10;vibro;normal;0.002
10;vibro;normal;0.014
10;vibro;normal;0.026
10;vibro;normal;0.062
10;vibro;conflict;0.132
10;vibro;normal;0.044
10;vibro;conflict;0.1
10;vibro;normal;0
10;vibro;normal;0.08
10;vibro;normal;0.002
10;vibro;normal;0.082
10;vibro;normal;0.04
10;vibro;conflict;0.098
10;vibro;normal;0.054
10;vibro;normal;0
10;vibro;conflict;0.112
10;vibro;normal;0.044
10;vibro;normal;0.082
10;vibro;normal;0
10;vibro;conflict;0.174
10;vibro;normal;0
10;vibro;normal;0.074
10;vibro;normal;0
10;vibro;normal;0.056
10;vibro;conflict;0.114
10;vibro;normal;0.092
10;vibro;conflict;0.106
10;vibro;normal;0
10;vibro;normal;0.018
10;vibro;normal;0.022
10;vibro;normal;0.054
10;vibro;normal;0
10;vibro;conflict;0.102
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.108
10;vibro;normal;0
10;vibro;normal;0.032
10;vibro;normal;0.044
10;vibro;conflict;0.114
10;vibro;normal;0.048
10;vibro;normal;0.038
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.108
10;vibro;normal;0.032
10;vibro;conflict;0.068
10;vibro;normal;0
10;vibro;normal;0.014
10;vibro;normal;0.026
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.076
10;vibro;normal;0
10;vibro;normal;0.02
10;vibro;conflict;0.09
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.028
10;vibro;normal;0.008
10;vibro;normal;0
10;vibro;normal;0.026
10;vibro;normal;0.024
10;vibro;conflict;0.058
10;vibro;normal;0.016
10;vibro;conflict;0.05
10;vibro;normal;0
10;vibro;normal;0.098
10;vibro;normal;0
10;vibro;normal;0.022
10;vibro;normal;0
10;vibro;conflict;0.048
10;vibro;normal;0.036
10;vibro;normal;0.004
10;vibro;conflict;0.038
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0.024
10;vibro;conflict;0.056
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0.018
10;vibro;conflict;0.054
10;vibro;normal;0
10;vibro;conflict;0.032
10;vibro;normal;0
10;vibro;normal;0.046
10;vibro;normal;0.004
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.074
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.046
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.108
10;vibro;normal;0
10;vibro;normal;0.01
10;vibro;normal;0.022
10;vibro;normal;0
10;vibro;conflict;0.048
10;vibro;normal;0.016
10;vibro;conflict;0.028
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.092
10;vibro;normal;0
10;vibro;normal;0.016
10;vibro;conflict;0.072
10;vibro;normal;0.03
10;vibro;normal;0
10;vibro;normal;0.02
10;vibro;conflict;0.034
10;vibro;normal;0.014
10;vibro;normal;0.004
10;vibro;normal;0
10;vibro;normal;0.018
10;vibro;conflict;0.054
10;vibro;normal;0
10;vibro;conflict;0.112
10;vibro;normal;0
10;vibro;normal;0.014
10;vibro;normal;0.038
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.066
10;vibro;normal;0.028
10;vibro;normal;0
10;vibro;conflict;0.168
10;vibro;normal;0.606
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.04
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.012
10;vibro;normal;0
10;vibro;conflict;0.072
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.046
10;vibro;normal;0.016
10;vibro;normal;0
10;vibro;conflict;0.074
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0.022
10;vibro;conflict;0.046
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;normal;0
10;vibro;conflict;0.064
10;vibro;normal;0
10;vibro;conflict;0.078
10;visual;normal;0.162
10;visual;normal;0.23
10;visual;conflict;0.354
10;visual;normal;0
10;visual;normal;0.21
10;visual;normal;0.166
10;visual;normal;0.17
10;visual;normal;0.17
10;visual;conflict;0.306
10;visual;normal;0.116
10;visual;conflict;0.408
10;visual;normal;0.04
10;visual;normal;0.03
10;visual;normal;0.132
10;visual;conflict;0.334
10;visual;normal;0.068
10;visual;normal;0.124
10;visual;normal;0.104
10;visual;normal;0.036
10;visual;conflict;0.25
10;visual;normal;0.094
10;visual;normal;0.042
10;visual;conflict;0.242
10;visual;normal;0.088
10;visual;normal;0.034
10;visual;normal;0.09
10;visual;normal;0.046
10;visual;normal;0.036
10;visual;conflict;0.228
10;visual;normal;0.128
10;visual;conflict;0.14
10;visual;normal;0.018
10;visual;normal;0.086
10;visual;normal;0.132
10;visual;conflict;0.29
10;visual;normal;0
10;visual;normal;0.012
10;visual;normal;0
10;visual;normal;0.06
10;visual;conflict;0.26
10;visual;normal;0.05
10;visual;normal;0.028
10;visual;conflict;0.196
10;visual;normal;0.12
10;visual;normal;0.144
10;visual;normal;0
10;visual;normal;0.146
10;visual;normal;0.014
10;visual;conflict;0.136
10;visual;normal;0.07
10;visual;conflict;0.182
10;visual;normal;0.074
10;visual;normal;0.052
10;visual;normal;0.098
10;visual;conflict;0.212
10;visual;normal;0
10;visual;normal;0.124
10;visual;normal;0.124
10;visual;normal;0.036
10;visual;conflict;0.26
10;visual;normal;0.028
10;visual;normal;0.094
10;visual;conflict;0.32
10;visual;normal;0.098
10;visual;normal;0.078
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0
10;visual;conflict;0.248
10;visual;normal;0.05
10;visual;conflict;0.218
10;visual;normal;0.05
10;visual;normal;0.028
10;visual;normal;0.008
10;visual;conflict;0.13
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0.004
10;visual;conflict;0.272
10;visual;normal;0
10;visual;normal;0
10;visual;conflict;0.21
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0.056
10;visual;normal;0
10;visual;normal;0.012
10;visual;conflict;0.284
10;visual;normal;0.07
10;visual;conflict;0.286
10;visual;normal;0.084
10;visual;normal;0.108
10;visual;normal;0
10;visual;conflict;0.268
10;visual;normal;0.022
10;visual;normal;0.102
10;visual;normal;0.104
10;visual;normal;0
10;visual;conflict;0.216
10;visual;normal;0.126
10;visual;normal;0.028
10;visual;conflict;0.252
10;visual;normal;0.042
10;visual;normal;0.142
10;visual;normal;0.11
10;visual;normal;0.088
10;visual;normal;0.08
10;visual;conflict;0.19
10;visual;normal;0.048
10;visual;conflict;0.216
10;visual;normal;0.14
10;visual;normal;0.096
10;visual;normal;0.096
10;visual;conflict;0.252
10;visual;normal;0.144
10;visual;normal;0.042
10;visual;normal;0.112
10;visual;normal;0.014
10;visual;conflict;0.226
10;visual;normal;0
10;visual;normal;0
10;visual;conflict;0.194
10;visual;normal;0
10;visual;normal;0.066
10;visual;normal;0.01
10;visual;normal;0.078
10;visual;normal;0.056
10;visual;conflict;0.18
10;visual;normal;0.014
10;visual;conflict;0.194
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0.064
10;visual;conflict;0.176
10;visual;normal;0.1
10;visual;normal;0.088
10;visual;normal;0
10;visual;normal;0.058
10;visual;conflict;0.126
10;visual;normal;0.004
10;visual;normal;0.06
10;visual;conflict;0.208
10;visual;normal;0.186
10;visual;normal;0.042
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0.034
10;visual;conflict;0.158
10;visual;normal;0.004
10;visual;conflict;0.138
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0.086
10;visual;conflict;0.098
10;visual;normal;0.01
10;visual;normal;0.022
10;visual;normal;0
10;visual;normal;0
10;visual;conflict;0.16
10;visual;normal;0
10;visual;normal;0
10;visual;conflict;0.108
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0
10;visual;conflict;0.126
10;visual;normal;0
10;visual;conflict;0.16
10;visual;normal;0
10;visual;normal;0.02
10;visual;normal;0.02
10;visual;conflict;0.076
10;visual;normal;0
10;visual;normal;0.024
10;visual;normal;0.012
10;visual;normal;0
10;visual;conflict;0.072
10;visual;normal;0
10;visual;normal;0.016
10;visual;conflict;0.084
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0.014
10;visual;conflict;0.114
10;visual;normal;0
10;visual;conflict;0.184
10;visual;normal;0.218
10;visual;normal;0
10;visual;normal;0.008
10;visual;conflict;0.088
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0
10;visual;conflict;0.206
10;visual;normal;0
10;visual;normal;0
10;visual;conflict;0.124
10;visual;normal;0.102
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0.038
10;visual;conflict;0.118
10;visual;normal;0
10;visual;conflict;0.222
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0
10;visual;conflict;0.204
10;visual;normal;0.026
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0
10;visual;conflict;0.074
10;visual;normal;0
10;visual;normal;0
10;visual;conflict;0.078
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0.028
10;visual;normal;0
10;visual;normal;0
10;visual;conflict;0.108
10;visual;normal;0.076
10;visual;conflict;0.134
10;visual;normal;0.014
10;visual;normal;0.002
10;visual;normal;0
10;visual;conflict;0.16
10;visual;normal;0.04
10;visual;normal;0.038
10;visual;normal;0
10;visual;normal;0.008
10;visual;conflict;0.154
10;visual;normal;0
10;visual;normal;0
10;visual;conflict;0.202
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0.028
10;visual;normal;0.008
10;visual;conflict;0.132
10;visual;normal;0
10;visual;conflict;0.168
10;visual;normal;0.044
10;visual;normal;0.024
10;visual;normal;0
10;visual;conflict;0.116
10;visual;normal;0
10;visual;normal;0.028
10;visual;normal;0.074
10;visual;normal;0.03
10;visual;conflict;0.144
10;visual;normal;0.056
10;visual;normal;0
10;visual;conflict;0.114
10;visual;normal;0
10;visual;normal;0.026
10;visual;normal;0
10;visual;normal;0
10;visual;normal;0.018
10;visual;conflict;0.086
10;visual;normal;0
10;visual;conflict;0.156
10;visual;normal;0.034
10;visual;normal;0.014
10;visual;normal;0.036
10;visual;conflict;0.116
10;visual;normal;0.026
10;visual;normal;0.04
10;visual;normal;0.042
10;visual;normal;0
10;visual;conflict;0.1
10;visual;normal;0.156
10;visual;normal;0.034
10;visual;conflict;0.17
10;visual;normal;0.048
10;visual;normal;0.016
10;visual;normal;0.006
10;visual;normal;0.038
10;visual;normal;0.018
10;visual;conflict;0.12
10;visual;normal;0.07
10;visual;conflict;0.146
10;visual;normal;0.068
10;visual;normal;0.046
10;visual;normal;0.07
10;visual;conflict;0.104
10;visual;normal;0.028
10;visual;normal;0.006
10;visual;normal;0.006
10;visual;normal;0.032
10;visual;conflict;0.154